"","choice","alt","cost","time","chid"
"84.rail",FALSE,"rail",2.0491179,50.101766,84
"85.bus",FALSE,"bus",2.3894568,63.485937,85
"85.car",FALSE,"car",7.8317311,64.444505,85
"85.carpool",TRUE,"carpool",1.1073053,63.178155,85
"85.rail",FALSE,"rail",2.8748029,56.516653,85
"86.bus",TRUE,"bus",1.5427555,26.16435,86
"86.car",FALSE,"car",7.7406398,61.671093,86
"86.carpool",FALSE,"carpool",1.9055045,59.066996,86
"86.rail",FALSE,"rail",2.1134582,39.65179,86
"87.bus",FALSE,"bus",2.5040077,42.456072,87
"87.car",TRUE,"car",0.80132032,12.935192,87
"87.carpool",FALSE,"carpool",1.0093569,23.462697,87
"87.rail",FALSE,"rail",2.6700626,59.476913,87
"88.bus",FALSE,"bus",2.663982,57.406953,88
"88.car",TRUE,"car",3.8225448,33.621892,88
"88.carpool",FALSE,"carpool",0.95507959,33.857299,88
"88.rail",FALSE,"rail",2.7843808,50.574986,88
"89.bus",FALSE,"bus",1.6265043,24.631436,89
"89.car",TRUE,"car",4.2106681,7.0995026,89
"89.carpool",FALSE,"carpool",2.875464,15.596626,89
"89.rail",FALSE,"rail",1.9449412,15.993956,89
"90.bus",FALSE,"bus",2.5853619,62.366853,90
"90.car",TRUE,"car",3.2924922,46.953141,90
"90.carpool",FALSE,"carpool",1.0022587,44.159735,90
"90.rail",FALSE,"rail",2.7824976,39.238228,90
"91.bus",FALSE,"bus",2.4767675,23.20457,91
"91.car",TRUE,"car",4.1134584,48.80647,91
"91.carpool",FALSE,"carpool",2.1149904,53.911641,91
"91.rail",FALSE,"rail",2.8751909,39.50471,91
"92.bus",TRUE,"bus",1.1685797,19.685186,92
"92.car",FALSE,"car",3.8687464,62.008664,92
"92.carpool",FALSE,"carpool",1.1354381,54.977459,92
"92.rail",FALSE,"rail",2.175242,23.516511,92
"93.bus",FALSE,"bus",2.0979292,67.612436,93
"93.car",FALSE,"car",5.9658717,48.980216,93
"93.carpool",FALSE,"carpool",3.1188289,49.667055,93
"93.rail",TRUE,"rail",2.0681964,61.38381,93
"94.bus",FALSE,"bus",1.9181835,50.357186,94
"94.car",TRUE,"car",2.1260847,16.779441,94
"94.carpool",FALSE,"carpool",2.8350616,25.566208,94
"94.rail",FALSE,"rail",2.5396087,25.331837,94
"95.bus",FALSE,"bus",2.4204985,25.456759,95
"95.car",TRUE,"car",5.627785,21.123747,95
"95.carpool",FALSE,"carpool",2.9965035,23.297593,95
"95.rail",FALSE,"rail",2.2340579,20.388945,95
"96.bus",FALSE,"bus",1.8290906,45.522535,96
"96.car",FALSE,"car",7.3159906,41.751062,96
"96.carpool",FALSE,"carpool",0.45474012,38.931079,96
"96.rail",TRUE,"rail",2.3073277,34.972967,96
"97.bus",FALSE,"bus",2.2203635,58.640618,97
"97.car",FALSE,"car",6.3349578,34.331046,97
"97.carpool",TRUE,"carpool",1.2889372,34.451567,97
"97.rail",FALSE,"rail",1.9970672,37.772083,97
"98.bus",FALSE,"bus",1.5662002,30.072834,98
"98.car",TRUE,"car",4.4807522,11.497485,98
"98.carpool",FALSE,"carpool",1.2419232,18.863799,98
"98.rail",FALSE,"rail",2.1288972,54.261843,98
"99.bus",TRUE,"bus",1.636379,25.703862,99
"99.car",FALSE,"car",6.4161898,38.180657,99
"99.carpool",FALSE,"carpool",2.1501635,37.508632,99
"99.rail",FALSE,"rail",2.1711122,43.623034,99
"100.bus",TRUE,"bus",1.567057,15.584055,100
"100.car",FALSE,"car",6.1670419,20.070024,100
"100.carpool",FALSE,"carpool",2.562995,27.105216,100
"100.rail",FALSE,"rail",2.4124344,47.298147,100
"101.bus",FALSE,"bus",2.367291,32.756191,101
"101.car",FALSE,"car",6.396723,53.334598,101
"101.carpool",FALSE,"carpool",1.4606004,50.303445,101
"101.rail",TRUE,"rail",2.7264506,28.852788,101
"102.bus",TRUE,"bus",1.8118266,9.6181717,102
"102.car",FALSE,"car",2.569266,38.329173,102
"102.carpool",FALSE,"carpool",1.5090894,38.700136,102
"102.rail",FALSE,"rail",2.4940812,11.508207,102
"103.bus",FALSE,"bus",2.6609121,43.254624,103
"103.car",TRUE,"car",3.7003519,33.448695,103
"103.carpool",FALSE,"carpool",1.5929387,40.053035,103
"103.rail",FALSE,"rail",2.8854515,45.093315,103
"104.bus",TRUE,"bus",1.9159791,43.585915,104
"104.car",FALSE,"car",6.4084555,57.035778,104
"104.carpool",FALSE,"carpool",2.2005508,54.14095,104
"104.rail",FALSE,"rail",1.7287338,60.587372,104
"105.bus",FALSE,"bus",2.3031907,40.667268,105
"105.car",TRUE,"car",4.6940511,45.196705,105
"105.carpool",FALSE,"carpool",1.3869752,50.366525,105
"105.rail",FALSE,"rail",2.2513076,23.445908,105
"106.bus",TRUE,"bus",2.4325221,30.07472,106
"106.car",FALSE,"car",7.1099933,52.569849,106
"106.carpool",FALSE,"carpool",2.2005782,48.347656,106
"106.rail",FALSE,"rail",2.3531494,43.132634,106
"107.bus",TRUE,"bus",2.0736038,34.448339,107
"107.car",FALSE,"car",6.416688,55.383431,107
"107.carpool",FALSE,"carpool",3.0035899,57.081135,107
"107.rail",FALSE,"rail",2.2463791,33.271989,107
"108.bus",FALSE,"bus",1.8648811,62.900698,108
"108.car",TRUE,"car",3.5642707,17.892371,108
"108.carpool",FALSE,"carpool",0.86690906,27.779936,108
"108.rail",FALSE,"rail",2.2680089,38.853682,108
"109.bus",FALSE,"bus",2.3686561,48.485961,109
"109.car",TRUE,"car",2.1537926,21.33399,109
"109.carpool",FALSE,"carpool",0.8842852,27.89294,109
"109.rail",FALSE,"rail",2.4157354,26.47141,109
"110.bus",FALSE,"bus",2.2010959,37.343876,110
"110.car",TRUE,"car",2.4697009,37.620346,110
"110.carpool",FALSE,"carpool",2.9631959,39.896845,110
"110.rail",FALSE,"rail",2.1613009,24.827381,110
"111.bus",FALSE,"bus",2.7196808,41.414996,111
"111.car",FALSE,"car",7.9696786,54.559821,111
"111.carpool",FALSE,"carpool",0.45500793,55.709898,111
"111.rail",TRUE,"rail",2.6366169,38.00393,111
"112.bus",FALSE,"bus",1.8473865,47.900252,112
"112.car",TRUE,"car",5.1486282,13.160511,112
"112.carpool",FALSE,"carpool",0.81373928,22.646514,112
"112.rail",FALSE,"rail",2.0524216,56.736851,112
"113.bus",TRUE,"bus",1.5571166,9.6776159,113
"113.car",FALSE,"car",3.5426785,32.17959,113
"113.carpool",FALSE,"carpool",2.4051338,37.722981,113
"113.rail",FALSE,"rail",1.5659463,17.162624,113
"114.bus",FALSE,"bus",2.2268328,23.385391,114
"114.car",FALSE,"car",6.2248165,34.555161,114
"114.carpool",FALSE,"carpool",2.261221,39.556891,114
"114.rail",TRUE,"rail",2.5746651,40.388492,114
"115.bus",FALSE,"bus",2.3634712,44.855206,115
"115.car",FALSE,"car",4.3751356,22.277252,115
"115.carpool",TRUE,"carpool",1.250235,29.744,115
"115.rail",FALSE,"rail",2.7056744,22.748696,115
"116.bus",FALSE,"bus",2.0794257,56.930622,116
"116.car",TRUE,"car",3.937628,45.346856,116
"116.carpool",FALSE,"carpool",1.3157802,45.184109,116
"116.rail",FALSE,"rail",2.1333119,65.817519,116
"117.bus",FALSE,"bus",2.1237853,27.602089,117
"117.car",FALSE,"car",6.3233326,57.372668,117
"117.carpool",FALSE,"carpool",1.7943434,57.770816,117
"117.rail",TRUE,"rail",1.869652,26.833467,117
"118.bus",FALSE,"bus",1.9655635,34.527382,118
"118.car",FALSE,"car",5.0739588,53.179888,118
"118.carpool",FALSE,"carpool",2.5899448,50.032521,118
"118.rail",TRUE,"rail",1.7273045,19.076382,118
"119.bus",FALSE,"bus",2.0380754,44.37505,119
"119.car",TRUE,"car",5.2199742,51.024935,119
"119.carpool",FALSE,"carpool",2.4936069,52.387122,119
"119.rail",FALSE,"rail",2.1958746,60.170324,119
"120.bus",FALSE,"bus",1.9487009,12.876084,120
"120.car",TRUE,"car",4.2057357,37.337873,120
"120.carpool",FALSE,"carpool",2.852315,42.464676,120
"120.rail",FALSE,"rail",2.0545277,14.13993,120
"121.bus",FALSE,"bus",1.6174581,6.0884675,121
"121.car",TRUE,"car",4.9994435,15.347346,121
"121.carpool",FALSE,"carpool",2.4602599,21.859814,121
"121.rail",FALSE,"rail",2.1643552,38.045198,121
"122.bus",TRUE,"bus",1.7268061,12.336163,122
"122.car",FALSE,"car",2.9595504,7.7810373,122
"122.carpool",FALSE,"carpool",3.0242535,13.445752,122
"122.rail",FALSE,"rail",1.8839974,35.23287,122
"123.bus",FALSE,"bus",1.8569504,41.473523,123
"123.car",TRUE,"car",4.8900511,33.448273,123
"123.carpool",FALSE,"carpool",2.5794543,35.037247,123
"123.rail",FALSE,"rail",1.9535347,56.748719,123
"124.bus",FALSE,"bus",2.6590344,58.831838,124
"124.car",TRUE,"car",4.4970543,3.8063966,124
"124.carpool",FALSE,"carpool",2.6389084,9.0899497,124
"124.rail",FALSE,"rail",2.9727861,43.328065,124
"125.bus",FALSE,"bus",2.4757898,48.297146,125
"125.car",FALSE,"car",7.3641596,39.586666,125
"125.carpool",FALSE,"carpool",1.6774596,38.751234,125
